,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
10/17/2024 14:50:56,0,9.375,1.5625,2.34375,0,9.375,3.77604365,7.48554468,99.81532,0.791624844,1.41058576,0.733704,0.7959205,0.782451332,0.7755052,58.5,3243.998,3243.998,3243.998,3243.998,3243.998,3243.998,5.289791,57.37688,8.803238,6.53959274,400,400,0.001,3,53,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,6.063,0.341796875,0.6347656,77.16899
10/17/2024 14:50:57,3.96825075,23.4375,3.125,5.46875,0,0,5.999917,14.1935425,99.81532,1.89521015,2.25519276,2.12419033,1.95892918,1.878454,1.76655352,61.5,3243.998,3243.998,2595.19849,2595.19849,2595.19849,2595.19849,11.8785305,56.6045876,8.684746,6.658085,400,400,0.001,7,53,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,4.513,0.048828125,0.244140625,77.16899
10/17/2024 14:50:58,4.615384,1.5625,2.34375,3.90625,0.78125,0,2.20152736,7.206699,99.81532,0.4881234,1.2969588,0.9536331,0.744732857,0.8473215,0.488690257,61.125,2595.19849,3243.998,3243.998,2595.19849,3243.998,3243.998,4.81946,56.52072,8.671879,6.670952,400,400,,2,53,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,4.35100031,0.09765625,0.1953125,77.16899
10/17/2024 14:50:59,7.8125,3.125,2.34375,4.6875,0.78125,0,3.125,7.143539,99.81532,0.72124815,1.25049567,0.7839581,0.821888864,1.12181461,0.672268867,60.75,3243.998,2595.19849,3243.998,2595.19849,3243.998,2595.19849,5.37167454,56.7633133,8.709099,6.633732,400,400,0.001,3,53,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,4.275,0.29296875,0.244140625,77.16899
10/17/2024 14:51:00,5.46875,0.78125,0.78125,0.78125,10.15625,9.375,4.557294,8.75866,99.81532,0.6933833,1.2102114,0.8058725,0.76539284,1.42706335,1.10052764,61,1397.41455,1397.41455,1397.41455,1397.41455,1397.41455,2595.19849,6.002451,56.73984,8.705498,6.637333,400,400,0.001,4,53,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,4.25800037,0.29296875,0.29296875,77.16899
10/17/2024 14:51:01,0.78125,0,0,0,0.78125,3.125,0.78125,5.063309,99.81532,0.370882541,0.57567203,0.2640429,0.337047338,0.6404605,0.4691915,60.5,1397.41455,1397.41455,1397.41455,1397.41455,1397.41455,1397.41455,2.657297,56.7140846,8.701546,6.641285,400,400,0.001,3,53,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,4.276,0.341796875,0.341796875,77.16899
