,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
11/08/2024 22:26:06,7.8125,3.125,0,0,0,0,1.82291865,5.43891525,99.81416,0.897402346,0.665007055,0.00506993569,0.00573783135,0.0275962371,0.0129936077,47.125,2969.47144,2969.47144,2375.57715,2375.57715,2375.57715,2375.57715,1.613807,63.79227,9.78754,5.55529,1800,400,,2,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.70800018,0.5859375,0.048828125,80.82738
11/08/2024 22:26:07,10.15625,1.5625,0,0,0,0,1.953125,5.66781044,99.81416,0.9872596,0.660190463,0.0830887854,0.009238897,0.0045505017,0.009514685,47,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,1.75384283,63.8095055,9.790184,5.55264664,400,1600,,2,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.68100023,0.048828125,0.244140625,80.82738
11/08/2024 22:26:08,8.59375,0.78125,0,0,0,0,1.5625,4.522041,99.81416,0.5602781,0.307432681,0.029877346,0.004279069,0.004294297,0.008664735,46.625,2395.54,2395.54,2595.16821,2595.16821,2595.16821,2595.16821,0.9148263,63.7897377,9.787151,5.55567932,400,1600,0.001,2,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.673,0.341796875,0.29296875,80.82738
11/08/2024 22:26:09,14.0625,0.78125,0.7692337,0,0,0,2.602166,6.2065196,99.81416,1.15377021,0.916761,0.383657634,0.00490137329,0.00902884547,0.01051595,46.75,2375.57715,2969.47144,2375.57715,2375.57715,2375.57715,2375.57715,2.478635,63.7751427,9.784912,5.55791855,400,1600,0.001,2,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67200017,0.341796875,0.244140625,80.82738
11/08/2024 22:26:10,7.03125,11.71875,0,0,0,0,3.125,6.40977764,99.81416,1.369722,1.33722258,0.178021684,0.005423197,0.005602971,0.0155804548,47.625,2595.16821,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,2.911573,63.75938,9.782494,5.560337,400,1600,0.001,3,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.657,0.341796875,0.341796875,80.82738
11/08/2024 22:26:11,9.375,9.375,0,0,0,0,3.125,6.605702,99.81416,1.58914888,1.36348057,0.168774843,0.005482724,0.006500944,0.0130645474,48.125,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,3.14645267,63.75274,9.781475,5.56135559,400,1600,,3,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.65800023,0.341796875,0.048828125,80.82738
11/08/2024 22:26:12,5.46875,0.78125,1.51515007,0.757575035,0,0,1.42045021,6.078601,99.81416,0.898830056,0.6996319,0.348962873,0.2159752,0.005637421,0.0107458616,47.875,3243.96021,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2.17978334,63.7569923,9.782127,5.56070328,1800,1600,,5,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.653,0.29296875,0.29296875,80.82738
11/08/2024 22:26:13,6.25,3.90625,0.806450844,0,0,0,1.82711482,6.055037,99.81416,0.969426751,0.6743061,0.50804013,0.0486059524,0.00767864147,0.008655646,47.875,1397.39832,1397.39832,2375.57715,2375.57715,2375.57715,2375.57715,2.21671319,63.7449074,9.780273,5.562557,400,1600,0.001,4,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.65600014,0.341796875,0.6347656,80.82738
11/08/2024 22:26:14,5.46875,3.90625,2.272725,0,0,0,1.94128156,6.704596,99.81416,1.11138809,1.02351928,0.8268329,0.285109043,0.00630398048,0.0154063134,48.375,3243.96021,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,3.26855946,63.74441,9.780197,5.56263351,400,1600,0.001,6,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.68500018,0.048828125,0.244140625,80.82738
11/08/2024 22:26:15,17.96875,1.5625,2.41935253,0,2.34375,0.78125,4.179269,7.536791,99.81416,1.49899173,1.13431716,0.434019536,0.353185534,0.286583632,0.0130639886,48.75,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,3.72016168,63.84752,9.796017,5.546814,400,1600,1556183.38,6,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67400026,0.341796875,0.1953125,80.82738
