,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space","Used Space"
10/09/2024 20:31:29,1.53846145,1.5504837,7.69230747,8.4615345,0.7692337,0,3.33533883,52,51,53,51,52,50,54,3914.17847,3914.17847,3914.17847,3914.17847,3914.17847,3914.17847,21.56943,17.2819958,0,1.17855668,100.363548,26.6401367,8.491882,23.384388,45,797.000061,2999.7002,1594.00012,0,2,0,0,6144,1162.55469,4981.44531,18.92179,17.8730011,0.0029296875,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:30,28.46154,10.771781,6.153846,0.7692337,0,0.7692337,7.82094,53,53,53,51,53,51,53,3914.17651,3914.17651,3914.17651,3914.17651,3914.17651,3914.17651,27.7230377,23.3512859,0,1.5463531,100.3635,26.65448,8.496452,23.379818,45,797.000061,2999.7002,1594.00012,7,2,0,0,6144,1155.76953,4988.23047,18.8113537,18.1780014,0.0107421875,0.0029296875,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:31,11.71875,3.858173,12.5,1.5625,12.5,3.125,7.54407024,60,60,64,62,61,61,64,3914.17529,3914.17529,3914.17529,3914.17529,3914.17529,3914.17529,38.9576149,31.9423962,0,2.10599184,100.363472,26.6139755,8.483543,23.3927269,44,797.000061,810.000061,1594.00012,9,10,0,0,6144,1173.10547,4970.89453,19.0935135,9.92100048,0.01171875,0.001953125,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:33,2.34375,12.5,4.6875,1.5625,34.375,1.5625,9.505206,58,57,63,58,58,56,63,3914.182,3914.182,3914.182,3914.182,3914.182,3914.182,45.9165726,38.57202,0,2.727558,100.363632,26.71608,8.51609,23.36018,44,797.000061,810.000061,1594.00012,3,7,0,0,6144,1173.10547,4970.89453,19.0935135,7.852,0.00390625,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:34,0.78125,32.03125,3.90625,2.34375,0,2.34375,6.901044,58,56,57,55,56,58,58,3914.17163,3914.17163,3914.17163,3914.17163,3914.17163,3914.17163,42.0601578,33.60946,0,2.02311945,100.36338,26.4213562,8.422142,23.4541283,44,607.5,405.000031,1215,1,13,0,0,6144,1173.10547,4970.89453,19.0935135,4.56200027,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:35,1.5625,6.25,8.59375,0,7.03125,5.46875,4.817706,57,57,60,56,54,54,60,3914.18115,3914.18115,3914.18115,3914.18115,3914.18115,3914.18115,41.3958054,29.4332466,0,1.61295807,100.363617,26.5541534,8.464474,23.4117966,44,607.5,405.000031,1215,0,13,0,0,6144,1173.10547,4970.89453,19.0935135,5.19800043,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:36,1.5625,13.4424572,36.71875,10.15625,3.90625,2.34375,11.3549948,58,62,62,58,60,58,62,3914.17944,3914.17944,3914.17944,3914.17944,3914.17944,3914.17944,50.3466225,38.25761,0,2.07124543,100.363579,26.64402,8.493122,23.3831482,44,607.5,405.000031,1215,0,13,0,0,6144,1170.082,4973.918,19.0443039,5.19300032,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:37,2.34375,3.1129837,32.8125,3.125,1.5625,3.125,7.680291,58,57,60,60,58,59,60,3914.17749,3914.17749,3914.17749,3914.17749,3914.17749,3914.17749,47.17914,35.10129,0,1.98346531,100.363525,26.661293,8.498627,23.3776436,44,607.5,405.000031,1215,1,12,0,0,6144,1170.17578,4973.824,19.04583,5.203,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:37,0.78125,2.34375,39.0625,2.34375,0.78125,0,7.552081,58,56,58,55,55,59,60,3914.178,3914.178,3914.178,3914.178,3914.178,3914.178,45.80527,33.749855,0,2.00914812,100.363533,26.7988739,8.54248,23.33379,44,607.5,405.000031,1215,1,12,0,0,6144,1163.98047,4980.01953,18.944994,4.886,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:39,8.4615345,3.076923,17.6923027,0.7692337,0,3.8461566,5.64103127,50,49,50,49,48,49,50,802.908142,3914.17725,3914.17725,3613.08667,3914.17725,3914.17725,29.9597244,18.01527,0,1.649751,100.363518,26.8864822,8.570408,23.3058624,44,607.5,405.000031,1215,11,18,0,0,6144,1166.73047,4977.26953,18.9897537,6.21200037,0.0107421875,0.001953125,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:40,0.78125,1.5625,0.78125,0.78125,18.75,0.78125,3.90625,47,47,47,46,45,47,48,903.27124,903.27124,903.27124,903.27124,903.27124,903.27124,18.1714287,6.414664,0,1.31184077,100.363472,26.8793564,8.568134,23.308136,44,607.5,405.000031,1215,0,13,0,0,6144,1166.73047,4977.26953,18.9897537,4.761,0,0.0009765625,28,18.34568,34.3991547,0.03377533
