,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
10/30/2024 21:59:43,5.555558,2.34375,1.58730149,2.34375,0,0,1.97172165,7.47539425,99.81772,0.7118435,0.6673857,0.626309335,0.5750077,0.3800673,0.194200575,50.5,3244.076,3244.076,3244.076,3244.076,3244.076,3244.076,3.154814,76.769104,11.778553,3.56427765,1800,1600,,14,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.32600021,0.29296875,0.09765625,73.44787
10/30/2024 21:59:44,13.0769253,0.78125,3.8942337,0.7692337,0,0,3.08694243,10.4513388,99.81772,1.38715446,1.42608118,1.07909977,0.824438632,0.673392832,0.3469355,50.125,3244.076,3244.076,2595.26074,3244.076,3244.076,2595.26074,5.73710251,76.8053741,11.7841187,3.558712,1800,1600,0.001,15,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.33000016,0.29296875,0.048828125,73.44787
10/30/2024 21:59:45,7.03125,1.5625,2.34375,0.78125,0.78125,0,2.08333135,8.981502,99.81772,1.35068655,1.27199638,1.08979285,0.874976337,0.537645638,0.122544721,49.875,3244.076,3244.076,3244.076,3244.076,3244.076,2595.26074,5.24764252,76.81117,11.7850075,3.55782318,400,1600,0.001,10,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.328,0.341796875,0.390625,73.44787
10/30/2024 21:59:46,8.730162,4.6875,2.34375,0,2.34375,0,3.01752687,8.77090549,99.81772,1.06302452,1.25853169,1.045894,0.8052814,0.682292759,0.391650826,49.625,3244.076,2595.26074,2595.26074,2595.26074,2595.26074,2595.26074,5.246675,76.80107,11.7834587,3.559372,400,1600,0.001,9,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.318,2.88085938,0.390625,73.44787
10/30/2024 21:59:47,1.5504837,1.5625,7.8125,3.90625,1.5625,0.78125,2.86257863,8.715813,99.81772,0.8832096,0.892565846,0.840918064,0.745547533,0.586626768,0.588073134,49.75,2395.62524,1916.50024,1916.50024,1916.50024,2375.66162,2375.66162,4.536941,76.8466949,11.7904587,3.552372,400,1600,0.001,8,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.3130002,2.83203125,0.439453125,73.44787
10/30/2024 21:59:48,1.5625,12.5,3.90625,0,0,0,2.99479365,7.73651648,99.81772,0.7649421,1.43575156,0.737376869,0.519706845,0.41843,0.0338202678,49.5,2395.62524,2395.62524,2395.62524,2395.62524,2395.62524,2395.62524,3.91002774,76.97032,11.8094254,3.5334053,400,1600,0.001,7,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.32000017,0.390625,1.66015625,73.44787
10/30/2024 21:59:49,3.125,0.78125,0.78125,0,1.5625,0.78125,1.171875,6.61664152,99.81772,0.564680159,0.587029159,0.5122365,0.44049,0.3684383,0.1921938,49,2969.57715,2969.57715,2969.57715,2969.57715,3244.076,2595.26074,2.665068,76.96922,11.8092575,3.53357315,400,1600,0.001,7,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.315,0.390625,1.5625,73.44787
10/30/2024 21:59:50,4.6875,2.34375,1.5625,0,0.78125,0,1.5625,6.73470354,99.81772,0.626472652,0.649861753,0.5841604,0.455382079,0.3410641,0.1857724,48.625,2375.66162,2375.66162,2969.57715,2375.66162,2969.57715,2375.66162,2.84271336,76.9725342,11.8097649,3.5330658,400,1600,0.001,7,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.305,0.29296875,0.29296875,73.44787
10/30/2024 21:59:51,3.90625,1.5625,0,1.57489777,1.58730149,0,1.43849254,6.580554,99.81772,0.5854099,0.6041483,0.538676143,0.369397372,0.330654979,0.2231313,48.125,3244.076,3244.076,3244.076,2595.26074,2595.26074,2595.26074,2.65141773,76.97027,11.8094177,3.533413,400,1600,0.001,7,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.302,0.341796875,0.244140625,73.44787
