,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
10/31/2024 12:07:02,16.40625,6.25,16.40625,3.90625,10.9375,13.380456,11.214447,11.3162031,99.81576,1.45032811,1.52698112,1.44155645,1.33057177,1.19529545,1.2750622,54.625,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,8.219795,64.18707,9.848114,5.49471664,400,1600,0.001,3,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.10000014,33.34961,7.861328,74.05821
10/31/2024 12:07:04,4.6875,3.90625,3.076923,1.5625,3.125,4.6875,3.50761414,9.913415,99.81576,1.15248859,1.45123029,1.2368536,0.894117832,0.8608329,0.7885695,54.75,3244.01221,3244.01221,3244.01221,3244.01221,2595.20972,2595.20972,6.38409233,64.27283,9.861271,5.48155975,675,1600,0.001,7,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,8.113,89.79492,7.763672,74.05821
10/31/2024 12:07:05,22.65625,10.9375,5.46875,1.5625,0,0,6.770831,7.50531626,99.81576,1.00840831,0.7873171,0.652372,0.526832461,0.4978023,0.52486223,54.5,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,2595.20972,3.99759436,64.25286,9.858208,5.484623,400,400,0.001,4,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,3.10000014,39.2089844,8.154297,74.05821
10/31/2024 12:07:07,0.78125,0.78125,0,6.25,0,0,1.30208135,6.380514,99.81576,0.7138888,0.9997715,0.635588646,0.613621235,0.5216239,0.411266834,54,2595.20972,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,3.89576077,64.260994,9.859455,5.48337555,400,400,0.001,6,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,8.146001,88.52539,8.056641,74.05821
10/31/2024 12:07:09,2.34375,8.59375,0,0,0,0,1.82291865,5.61928463,99.81576,0.793738365,0.9814541,0.768525541,0.5721005,0.4655142,0.3094785,53.375,3244.01221,3244.01221,3244.01221,2595.20972,2595.20972,2595.20972,3.8908112,64.29416,9.864544,5.47828674,400,400,0.001,4,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.125,95.9472656,7.56835938,74.05821
10/31/2024 12:07:11,1.5625,2.34375,0,0,0,0,0.651043653,4.117904,99.81576,0.426413566,0.531293333,0.272102565,0.271379262,0.332445,0.255035579,52.875,2096.13086,3244.01221,2595.20972,3244.01221,3244.01221,3244.01221,2.0886693,64.28774,9.86356,5.479271,400,400,0.001,3,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.092,95.36133,7.8125,74.05821
10/31/2024 12:07:13,0.78125,3.174603,0,0,0,1.5625,0.9197235,3.78665161,99.81576,0.3571636,0.4388485,0.2895597,0.330309778,0.363996357,0.19874911,52.25,3244.01221,3244.01221,2595.20972,2595.20972,3244.01221,2595.20972,1.978627,64.29605,9.864834,5.477997,400,400,,1,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.26,68.06641,7.080078,74.05821
10/31/2024 12:07:15,3.90625,2.34375,0,0,1.5625,1.53846145,1.55849457,5.132308,99.81576,0.5281485,0.7979626,0.570530832,0.4507625,0.598765433,0.284273863,52.75,3244.01221,3244.01221,2595.20972,3244.01221,3244.01221,2595.20972,3.23044372,64.3177,9.868156,5.474674,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.048,75.48828,7.17773438,74.05821
10/31/2024 12:07:17,8.59375,1.5625,0,1.5625,0.78125,1.5625,2.34375,8.100308,99.81576,1.05396461,1.2681638,1.09421992,1.03480279,0.945631,0.8135674,53.5,2595.20972,2595.20972,3244.01221,2595.20972,2595.20972,2595.20972,6.210349,64.5221558,9.899525,5.443306,400,400,0.001,2,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.042001,83.4472656,7.421875,74.05821
10/31/2024 12:07:19,2.34375,0,2.34375,2.34375,3.125,1.5625,1.953125,5.114344,99.81576,0.6221786,0.6434196,0.600202262,0.5009292,0.464922845,0.354287356,53.5,2595.20972,2595.20972,2595.20972,2595.20972,3244.01221,2595.20972,3.18594,64.5750351,9.907639,5.435192,400,400,0.001,1,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.163,106.103516,7.8125,74.05821
10/31/2024 12:07:21,0,1.5625,0,0,7.8125,2.34375,1.953125,4.741455,99.81576,0.5391796,0.4934766,0.407817841,0.3920164,0.479529649,0.346451283,54,1397.42065,1397.42065,1397.42065,1397.42065,1397.42065,1397.42065,2.65847135,64.5547943,9.904533,5.43829727,400,400,0.001,1,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.222,69.53125,8.300781,74.05821
10/31/2024 12:07:23,0,4.6754837,2.34375,0,1.5625,0,1.43029094,4.544986,99.81576,0.318344355,0.8668594,0.496481359,0.30429256,0.3688038,0.289910883,53.625,1397.42065,1397.42065,3244.01221,3244.01221,3244.01221,3244.01221,2.64469242,64.2780457,9.862072,5.48075867,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.3220005,85.98633,9.082031,74.05821
10/31/2024 12:07:25,5.46875,2.34375,2.34375,0.78125,0.78125,0.78125,2.08333135,5.288981,99.81576,0.9453506,0.8169205,0.565758049,0.410418838,0.3739258,0.4499465,53.375,3244.01221,3244.01221,3244.01221,3244.01221,2595.20972,2595.20972,3.56232023,64.25702,9.858845,5.483986,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.244,123.0957,9.1796875,74.05821
10/31/2024 12:07:26,14.0625,24.21875,1.5625,0,0,2.38095522,7.037449,8.637969,99.81576,1.4122833,1.34649992,1.1797725,0.780293,0.6364532,0.9016371,53.75,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,6.256939,64.24289,9.856678,5.48615265,675,1600,0.001,2,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.10000014,59.4726563,7.8125,74.05821
10/31/2024 12:07:26,7.8125,0.78125,18.75,0,0,6.92307949,5.711132,8.377841,99.81576,1.107972,0.988983035,1.01534,0.7361123,0.6368987,0.905611157,54,2595.20972,3244.01221,2595.20972,2595.20972,3244.01221,2595.20972,5.3909173,64.25796,9.85899,5.483841,400,1600,0.001,2,48,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,6.82300043,0.6347656,0.048828125,74.05821
10/31/2024 12:07:28,2.34375,2.34375,1.5625,1.5625,1.5625,0.78125,1.69270635,5.446667,99.81576,0.570758045,0.8125293,0.660509467,0.5907554,0.4837778,0.3293608,53.75,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,2595.20972,3.447691,64.2205353,9.853249,5.489582,400,400,0.001,1,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,8.211,85.35156,8.59375,74.05838
10/31/2024 12:07:29,11.71875,19.53125,3.125,8.59375,2.34375,2.34375,7.942706,9.189661,99.81576,1.1976254,1.17802668,1.15385222,1.35023248,0.86883837,0.952789664,54.625,1397.42065,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,6.701365,64.23099,9.854851,5.48798,400,1600,0.001,1,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,3.10000014,58.54492,8.0078125,74.05838
10/31/2024 12:07:29,1.5625,0.78125,18.75,0,3.90625,0.78125,4.296875,7.099697,99.81576,0.6856232,0.9418872,0.862273037,0.752647,0.5227661,0.3442033,54.625,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,2595.20972,4.1094,64.18302,9.847492,5.49533844,400,400,0.001,1,49,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,6.92700052,0.6347656,0.048828125,74.05838
10/31/2024 12:07:31,3.125,1.5625,0.78125,3.90625,0.78125,3.125,2.21354365,7.43832731,99.81576,0.9476379,1.39197,1.06287956,1.03705168,0.814587653,0.692831337,54.875,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,2595.20972,5.946958,64.17952,9.846954,5.49587631,400,400,0.001,3,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,8.366,111.767578,6.49414063,74.05838
10/31/2024 12:07:33,0.78125,4.6875,1.5625,0,0,0.78125,1.30208135,6.416293,99.81576,0.8092164,1.293269,1.10780275,0.5176981,0.4643315,0.442385525,54.625,2595.20972,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,4.634703,64.24028,9.856277,5.486553,400,400,,2,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,8.280001,101.953125,8.935547,74.05838
10/31/2024 12:07:34,2.34375,11.71875,0.78125,18.75,0.78125,0.78125,5.859375,6.86898661,99.81576,0.888546467,0.9873933,0.8182926,0.7070688,0.5621722,0.42933777,54.75,2595.20972,2595.20972,2595.20972,3244.01221,2595.20972,2595.20972,4.3928113,64.4241943,9.884495,5.458336,400,400,0.001,2,0,210.000015,374.999023,0,0,0,0,1,4096,132,3964,3.22265625,8.078,48.48633,7.66601563,74.05838
10/31/2024 12:07:36,2.34375,1.5625,0.78125,1.5625,0.78125,0,1.171875,4.63880348,99.81576,0.5604416,0.683094561,0.5476925,0.473344058,0.389418036,0.247599348,54.875,1397.42065,1397.42065,1397.42065,1397.42065,1397.42065,1397.42065,2.90159035,64.12134,9.838028,5.5048027,400,400,0.001,1,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.386001,63.8671875,7.32421875,74.05838
10/31/2024 12:07:38,1.5625,1.5625,0,1.5625,1.5625,0,1.04166865,3.37612271,99.81576,0.387671441,0.510857046,0.224266663,0.29279688,0.3178625,0.148731023,54.25,2595.20972,2595.20972,2595.20972,3244.01221,2595.20972,2595.20972,1.88218546,63.94483,9.810947,5.53188324,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.34,74.6582,8.300781,74.05838
10/31/2024 12:07:40,1.5625,1.5625,0.78125,2.34375,0.7692337,7.69230747,2.45192051,4.600442,99.81576,0.409979254,0.5608295,0.371334165,0.406521,0.406792819,0.5143618,53.75,2595.20972,2595.20972,3244.01221,2595.20972,2595.20972,2595.20972,2.66981864,64.0062943,9.820377,5.52245331,400,400,0.001,2,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.162001,85.64453,7.6171875,74.05838
10/31/2024 12:07:42,0,0.78125,0,0,0.78125,0,0.260418653,4.140281,99.81576,0.426729321,0.473567337,0.3729953,0.3080171,0.342970163,0.1836294,53.625,3244.01221,3244.01221,3244.01221,2595.20972,3244.01221,3244.01221,2.10790873,63.915966,9.806519,5.536312,400,400,0.001,1,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.346001,61.71875,4.1015625,74.05838
10/31/2024 12:07:44,0,0.78125,0,0.78125,4.6875,0.78125,1.171875,5.568866,99.81576,0.5408002,0.794631243,0.7323728,0.7155363,0.657479346,0.357126474,54.75,2595.20972,3244.01221,2595.20972,2595.20972,2595.20972,2595.20972,3.79794645,64.1845856,9.847733,5.495098,400,400,0.001,5,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.255,82.12891,7.27539063,74.05838
10/31/2024 12:07:46,3.125,2.34375,2.34375,3.90625,0.78125,6.25,3.125,5.751741,99.81576,0.7169695,0.987185538,0.7473959,0.553743362,0.553821,0.4148257,54.625,1397.42065,1397.42065,1397.42065,1397.42065,1397.42065,1397.42065,3.973941,64.1934357,9.849091,5.49374,400,400,0.001,5,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.342,74.90234,5.76171875,74.05838
10/31/2024 12:07:48,1.5625,1.5625,0,1.5625,1.5625,0.78125,1.171875,4.503463,99.81576,0.4457407,0.622319043,0.481166,0.4057768,0.324067056,0.212262556,54.375,2595.20972,2595.20972,2595.20972,2595.20972,3244.01221,2595.20972,2.49133229,63.9475441,9.811363,5.53146744,400,400,0.001,1,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.371,68.70117,7.27539063,74.05838
10/31/2024 12:07:50,2.34375,12.6860142,0,0.78125,1.5625,0.78125,3.025794,4.67207432,99.81576,0.4360477,1.32996881,0.4599896,0.418559372,0.35365057,0.190310672,54.625,2595.20972,3244.01221,2595.20972,2595.20972,3244.01221,2595.20972,3.18852663,63.9524155,9.812111,5.53071976,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.566,126.660156,8.984375,74.05838
10/31/2024 12:07:52,2.34375,0,0.78125,5.46875,0,1.5625,1.69270635,3.3393476,99.81576,0.283054948,0.198526829,0.201892719,0.2454818,0.134331152,0.129655451,54.75,2595.20972,3244.01221,2595.20972,2595.20972,3244.01221,2595.20972,1.19294286,63.9079857,9.805294,5.53753662,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.391001,61.0351563,7.421875,74.05838
10/31/2024 12:07:54,0,0.793647766,0,0,1.57489777,0,0.3947556,3.462703,99.81576,0.3048874,0.405165881,0.235597029,0.304880172,0.488085359,0.17397882,54.125,3244.01221,3244.01221,3244.01221,2595.20972,3244.01221,3244.01221,1.91259468,63.8552742,9.797207,5.545624,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.503,78.02734,5.71289063,74.05838
10/31/2024 12:07:56,0,0.78125,0,0,3.90625,0,0.78125,3.54573131,99.81576,0.308953077,0.210813075,0.212442622,0.420965344,0.27507028,0.175882161,53.875,2595.20972,3244.01221,2595.20972,2595.20972,3244.01221,2595.20972,1.60412669,63.7895126,9.787117,5.55571365,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.294001,68.1152344,6.982422,74.05838
10/31/2024 12:07:58,0,0.78125,0.78125,0,0,0,0.260418653,3.411903,99.81576,0.362976462,0.488672167,0.245977044,0.26585,0.3791289,0.189579576,53.625,1397.42065,1676.90479,3244.01221,3244.01221,3244.01221,2595.20972,1.93218434,63.7407532,9.779636,5.56319427,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.405001,89.16016,7.421875,74.0584
10/31/2024 12:08:00,3.125,0,0.78125,0,0.78125,0.78125,0.911456347,3.44519949,99.81576,0.423091739,0.188074425,0.168267548,0.268649638,0.26958847,0.134074956,53.625,2595.20972,2595.20972,2595.20972,2595.20972,3244.01221,2595.20972,1.4517467,63.82447,9.79248,5.55035,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.379001,117.773438,7.95898438,74.0584
10/31/2024 12:08:02,0,2.34375,0,0,2.34375,0,0.78125,3.3865273,99.81576,0.33905077,0.356861532,0.174423411,0.316665381,0.340495,0.203202814,53.5,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,3244.01221,1.730699,63.8061,9.789661,5.55316925,400,400,,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.41400051,80.27344,7.421875,74.0584
10/31/2024 12:08:04,0.78125,2.34375,2.34375,0,0.78125,9.375,2.60416865,5.46258831,99.81576,0.834834158,0.8487365,0.573002934,0.446452826,0.3561667,0.69671005,54.375,2595.20972,2595.20972,3244.01221,2595.20972,2595.20972,2595.20972,3.75590324,63.7434158,9.780045,5.562786,400,400,0.001,0,0,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,8.516001,102.148438,7.71484375,74.0584
