Timestamp,CPU Package Temperature (C),CPU Power Consumption (W),Humidity (%),Water Level,Microphone Decibel Level (dB)
2024-11-21 13:13:02,20.1,3.31,60.8,0.0,3.31
2024-11-21 13:13:04,20.1,3.31,60.8,0.0,3.31
2024-11-21 13:13:04,20.1,3.39,60.7,0.0,3.39
2024-11-21 13:13:06,20.1,3.39,60.7,0.0,3.39
2024-11-21 13:13:06,20.1,3.38,60.7,0.0,3.38
2024-11-21 13:13:08,20.1,3.38,60.7,0.0,3.38
2024-11-21 13:13:08,20.2,3.4,60.7,0.0,3.4
2024-11-21 13:13:10,20.2,3.4,60.7,0.0,3.4
2024-11-21 13:13:10,20.1,3.33,60.7,0.0,3.33
2024-11-21 13:13:12,20.1,3.33,60.7,0.0,3.33
2024-11-21 13:13:12,20.2,3.33,60.7,0.0,3.33
2024-11-21 13:13:14,20.2,3.33,60.7,0.0,3.33
2024-11-21 13:13:14,20.1,3.68,60.7,0.0,3.68
2024-11-21 13:13:16,20.1,3.68,60.7,0.0,3.68
2024-11-21 13:13:16,20.1,3.63,60.7,0.0,3.63
2024-11-21 13:13:18,20.1,3.63,60.7,0.0,3.63
2024-11-21 13:13:18,20.2,3.53,60.7,0.0,3.53
2024-11-21 13:13:20,20.2,3.53,60.7,0.0,3.53
2024-11-21 13:13:20,20.2,3.45,60.9,0.0,3.45
2024-11-21 13:13:22,20.2,3.45,60.9,0.0,3.45
2024-11-21 13:13:22,20.2,3.35,61.1,0.0,3.35
2024-11-21 13:13:24,20.2,3.35,61.1,0.0,3.35
2024-11-21 13:13:24,20.2,3.38,61.0,0.0,3.38
2024-11-21 13:13:26,20.2,3.38,61.0,0.0,3.38
2024-11-21 13:13:26,20.1,3.46,61.0,0.0,3.46
2024-11-21 13:13:28,20.1,3.46,61.0,0.0,3.46
2024-11-21 13:13:28,20.2,3.5,60.9,0.0,3.5
2024-11-21 13:13:30,20.2,3.5,60.9,0.0,3.5
2024-11-21 13:13:30,20.1,3.5,60.8,0.0,3.5
2024-11-21 13:13:32,20.1,3.5,60.8,0.0,3.5
2024-11-21 13:13:32,20.2,3.37,60.8,0.0,3.37
2024-11-21 13:13:34,20.2,3.37,60.8,0.0,3.37
2024-11-21 13:13:34,20.2,3.46,60.8,0.0,3.46
2024-11-21 13:13:36,20.2,3.46,60.8,0.0,3.46
2024-11-21 13:13:36,20.1,3.38,60.8,0.0,3.38
2024-11-21 13:13:38,20.1,3.38,60.8,0.0,3.38
2024-11-21 13:13:38,20.2,3.39,60.8,0.0,3.39
2024-11-21 13:13:40,20.2,3.39,60.8,0.0,3.39
2024-11-21 13:13:40,20.2,3.42,60.8,0.0,3.42
2024-11-21 13:13:42,20.2,3.42,60.8,0.0,3.42
2024-11-21 13:13:42,20.2,3.46,60.8,0.0,3.46
2024-11-21 13:13:44,20.2,3.46,60.8,0.0,3.46
2024-11-21 13:13:44,20.2,3.43,60.8,0.0,3.43
